num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
190,10,10,10,0.2,5,0,0,0,0,440,837,1213,2734,200,2734
180,20,10,10,0.2,5,0,0,0,0,432,914,1392,4450,200,4450
170,30,10,10,0.2,5,0,0,0,0,545,1045,1571,5751,200,5751
160,40,10,10,0.2,5,0,0,0,0,493,941,1334,7574,200,7574
150,50,10,10,0.2,5,0,0,0,0,588,1082,1665,9126,200,9126
140,60,10,10,0.2,5,0,0,0,0,554,1126,1770,10672,200,10672
130,70,10,10,0.2,5,0,0,0,0,660,1248,2072,9067,200,9067
120,80,10,10,0.2,5,0,0,0,0,705,1417,2346,11202,200,11202
110,90,10,10,0.2,5,0,0,0,0,635,1267,2483,10646,200,10646
100,100,10,10,0.2,5,0,0,0,0,906,1909,2974,11276,200,11276
90,110,10,10,0.2,5,0,0,0,0,930,1634,3567,13428,200,13428
80,120,10,10,0.2,5,0,0,0,0,1327,2411,3895,16255,200,16255
70,130,10,10,0.2,5,0,0,0,0,1035,2144,4305,14745,200,14745
60,140,10,10,0.2,5,0,0,0,0,1031,2344,4301,15708,200,15708
50,150,10,10,0.2,5,0,0,0,0,1219,3268,5650,20437,200,20437
40,160,10,10,0.2,5,0,0,0,0,1647,3933,7236,32266,200,32266
30,170,10,10,0.2,5,0,0,0,0,1601,4845,8270,22766,200,22766
20,180,10,10,0.2,5,0,0,0,0,2101,5579,10294,39585,200,39585
10,190,10,10,0.2,5,0,0,0,0,2660,6762,12262,27674,200,27674
190,10,10,10,0.2,5,0,0,0,0,507,960,1354,3036,200,3036
180,20,10,10,0.2,5,0,0,0,0,564,1002,1323,7529,200,7529
170,30,10,10,0.2,5,0,0,0,0,765,1208,1540,4878,200,4878
160,40,10,10,0.2,5,0,0,0,0,436,988,1586,5376,200,5376
150,50,10,10,0.2,5,0,0,0,0,480,995,1548,4993,200,4993
140,60,10,10,0.2,5,0,0,0,0,559,907,1557,11894,200,11894
130,70,10,10,0.2,5,0,0,0,0,834,1592,2293,7889,200,7889
120,80,10,10,0.2,5,0,0,0,0,428,1192,2201,11273,200,11273
110,90,10,10,0.2,5,0,0,0,0,830,1763,2732,12049,200,12049
100,100,10,10,0.2,5,0,0,0,0,714,1791,3295,16164,200,16164
90,110,10,10,0.2,5,0,0,0,0,1161,2109,3531,11212,200,11212
80,120,10,10,0.2,5,0,0,0,0,994,2074,3659,16909,200,16909
70,130,10,10,0.2,5,0,0,0,0,1092,2341,3847,10948,200,10948
60,140,10,10,0.2,5,0,0,0,0,1296,2893,5130,22901,200,22901
50,150,10,10,0.2,5,0,0,0,0,572,2280,4510,13367,200,13367
40,160,10,10,0.2,5,0,0,0,0,1891,3559,6742,26121,200,26121
30,170,10,10,0.2,5,0,0,0,0,1414,4025,7201,29058,200,29058
20,180,10,10,0.2,5,0,0,0,0,2377,5659,9716,29391,200,29391
10,190,10,10,0.2,5,0,0,0,0,3593,9014,13283,30924,200,30924
190,10,10,10,0.2,5,0,0,0,0,544,1037,1640,3287,200,3287
180,20,10,10,0.2,5,0,0,0,0,291,721,1089,3591,200,3591
170,30,10,10,0.2,5,0,0,0,0,502,1050,1385,4534,200,4534
160,40,10,10,0.2,5,0,0,0,0,507,907,1456,5615,200,5615
150,50,10,10,0.2,5,0,0,0,0,824,1403,1878,12001,200,12001
140,60,10,10,0.2,5,0,0,0,0,547,1145,1814,9702,200,9702
130,70,10,10,0.2,5,0,0,0,0,511,1142,1935,13746,200,13746
120,80,10,10,0.2,5,0,0,0,0,669,1584,2596,11235,200,11235
110,90,10,10,0.2,5,0,0,0,0,522,1063,2043,6691,200,6691
100,100,10,10,0.2,5,0,0,0,0,1128,2102,3416,16111,200,16111
90,110,10,10,0.2,5,0,0,0,0,1054,2284,3907,15996,200,15996
80,120,10,10,0.2,5,0,0,0,0,711,1980,3532,15538,200,15538
70,130,10,10,0.2,5,0,0,0,0,1207,3084,4992,15689,200,15689
60,140,10,10,0.2,5,0,0,0,0,941,2195,4152,17225,200,17225
50,150,10,10,0.2,5,0,0,0,0,1165,3023,5670,14141,200,14141
40,160,10,10,0.2,5,0,0,0,0,1311,3296,6467,19403,200,19403
30,170,10,10,0.2,5,0,0,0,0,1860,4151,7843,17969,200,17969
20,180,10,10,0.2,5,0,0,0,0,2142,5417,8821,28010,200,28010
10,190,10,10,0.2,5,0,0,0,0,3384,7312,11983,32307,200,32307
190,10,10,10,0.2,5,0,0,0,0,515,893,1733,3545,200,3545
180,20,10,10,0.2,5,0,0,0,0,657,1045,1398,6384,200,6384
170,30,10,10,0.2,5,0,0,0,0,674,1049,1537,5552,200,5552
160,40,10,10,0.2,5,0,0,0,0,478,929,1416,6627,200,6627
150,50,10,10,0.2,5,0,0,0,0,631,1080,1661,7032,200,7032
140,60,10,10,0.2,5,0,0,0,0,802,1174,1793,15731,200,15731
130,70,10,10,0.2,5,0,0,0,0,844,1464,2540,10272,200,10272
120,80,10,10,0.2,5,0,0,0,0,882,1622,2475,12820,200,12820
110,90,10,10,0.2,5,0,0,0,0,534,1378,2408,14751,200,14751
100,100,10,10,0.2,5,0,0,0,0,882,1689,2703,11515,200,11515
90,110,10,10,0.2,5,0,0,0,0,848,2149,3692,16244,200,16244
80,120,10,10,0.2,5,0,0,0,0,1059,2223,3403,14623,200,14623
70,130,10,10,0.2,5,0,0,0,0,872,1977,3923,15349,200,15349
60,140,10,10,0.2,5,0,0,0,0,1002,2459,4813,17894,200,17894
50,150,10,10,0.2,5,0,0,0,0,1237,3067,5529,21537,200,21537
40,160,10,10,0.2,5,0,0,0,0,1494,3400,6301,19313,200,19313
30,170,10,10,0.2,5,0,0,0,0,2489,6013,9571,21694,200,21694
20,180,10,10,0.2,5,0,0,0,0,2270,7079,11040,30732,200,30732
10,190,10,10,0.2,5,0,0,0,0,2493,7328,12339,43050,200,43050
190,10,10,10,0.2,5,0,0,0,0,389,805,1134,2406,200,2406
180,20,10,10,0.2,5,0,0,0,0,238,679,1068,4210,200,4210
170,30,10,10,0.2,5,0,0,0,0,432,1027,1678,8518,200,8518
160,40,10,10,0.2,5,0,0,0,0,544,1204,1832,6781,200,6781
150,50,10,10,0.2,5,0,0,0,0,581,1107,1630,4406,200,4406
140,60,10,10,0.2,5,0,0,0,0,733,1353,2088,6833,200,6833
130,70,10,10,0.2,5,0,0,0,0,848,1491,2231,8533,200,8533
120,80,10,10,0.2,5,0,0,0,0,767,1407,2284,11364,200,11364
110,90,10,10,0.2,5,0,0,0,0,910,1700,2748,15881,200,15881
100,100,10,10,0.2,5,0,0,0,0,774,1578,2931,8382,200,8382
90,110,10,10,0.2,5,0,0,0,0,868,1962,3498,14655,200,14655
80,120,10,10,0.2,5,0,0,0,0,781,1603,3325,17890,200,17890
70,130,10,10,0.2,5,0,0,0,0,1204,2563,4099,16259,200,16259
60,140,10,10,0.2,5,0,0,0,0,1553,2928,4918,21892,200,21892
50,150,10,10,0.2,5,0,0,0,0,1422,3492,5881,22571,200,22571
40,160,10,10,0.2,5,0,0,0,0,1587,3686,7229,22423,200,22423
30,170,10,10,0.2,5,0,0,0,0,1210,3638,7318,21634,200,21634
20,180,10,10,0.2,5,0,0,0,0,2132,4963,8210,27656,200,27656
10,190,10,10,0.2,5,0,0,0,0,2131,5287,10074,33458,200,33458
190,10,10,10,0.2,5,0,0,0,0,404,772,1108,2509,200,2509
180,20,10,10,0.2,5,0,0,0,0,342,927,1411,4608,200,4608
170,30,10,10,0.2,5,0,0,0,0,549,1077,1435,4528,200,4528
160,40,10,10,0.2,5,0,0,0,0,620,1106,1584,5548,200,5548
150,50,10,10,0.2,5,0,0,0,0,467,944,1529,5204,200,5204
140,60,10,10,0.2,5,0,0,0,0,495,1048,1662,6953,200,6953
130,70,10,10,0.2,5,0,0,0,0,721,1248,2061,8488,200,8488
120,80,10,10,0.2,5,0,0,0,0,745,1219,1992,8780,200,8780
110,90,10,10,0.2,5,0,0,0,0,758,1528,2376,10475,200,10475
100,100,10,10,0.2,5,0,0,0,0,575,1496,2541,11590,200,11590
90,110,10,10,0.2,5,0,0,0,0,694,1497,2739,15956,200,15956
80,120,10,10,0.2,5,0,0,0,0,875,2017,3792,10485,200,10485
70,130,10,10,0.2,5,0,0,0,0,1297,2422,4473,14593,200,14593
60,140,10,10,0.2,5,0,0,0,0,1111,2791,4994,14592,200,14592
50,150,10,10,0.2,5,0,0,0,0,1810,3629,6783,27199,200,27199
40,160,10,10,0.2,5,0,0,0,0,1188,3135,6059,21551,200,21551
30,170,10,10,0.2,5,0,0,0,0,2524,5414,8374,40367,200,40367
20,180,10,10,0.2,5,0,0,0,0,2500,5774,9385,38240,200,38240
10,190,10,10,0.2,5,0,0,0,0,2916,7413,15023,49355,200,49355
190,10,10,10,0.2,5,0,0,0,0,335,679,985,2409,200,2409
180,20,10,10,0.2,5,0,0,0,0,457,839,1392,5735,200,5735
170,30,10,10,0.2,5,0,0,0,0,410,913,1370,6184,200,6184
160,40,10,10,0.2,5,0,0,0,0,529,1092,1745,7675,200,7675
150,50,10,10,0.2,5,0,0,0,0,388,934,1493,8090,200,8090
140,60,10,10,0.2,5,0,0,0,0,611,1078,1592,7458,200,7458
130,70,10,10,0.2,5,0,0,0,0,495,1143,1962,9278,200,9278
120,80,10,10,0.2,5,0,0,0,0,988,1623,2304,12637,200,12637
110,90,10,10,0.2,5,0,0,0,0,663,1153,2300,9858,200,9858
100,100,10,10,0.2,5,0,0,0,0,866,1699,2886,11889,200,11889
90,110,10,10,0.2,5,0,0,0,0,753,1871,3896,12713,200,12713
80,120,10,10,0.2,5,0,0,0,0,1133,2060,3975,15574,200,15574
70,130,10,10,0.2,5,0,0,0,0,969,2654,4627,14778,200,14778
60,140,10,10,0.2,5,0,0,0,0,1401,2876,4994,18629,200,18629
50,150,10,10,0.2,5,0,0,0,0,1479,3336,5143,27306,200,27306
40,160,10,10,0.2,5,0,0,0,0,1439,4046,7262,22056,200,22056
30,170,10,10,0.2,5,0,0,0,0,2345,4408,7926,28228,200,28228
20,180,10,10,0.2,5,0,0,0,0,2847,6202,12163,32037,200,32037
10,190,10,10,0.2,5,0,0,0,0,3305,7750,13341,39639,200,39639
190,10,10,10,0.2,5,0,0,0,0,367,754,1239,2656,200,2656
180,20,10,10,0.2,5,0,0,0,0,648,1027,1400,4350,200,4350
170,30,10,10,0.2,5,0,0,0,0,486,909,1228,11023,200,11023
160,40,10,10,0.2,5,0,0,0,0,474,952,1441,6556,200,6556
150,50,10,10,0.2,5,0,0,0,0,629,1110,1756,9776,200,9776
140,60,10,10,0.2,5,0,0,0,0,595,1103,1683,17330,200,17330
130,70,10,10,0.2,5,0,0,0,0,1024,1603,2479,13863,200,13863
120,80,10,10,0.2,5,0,0,0,0,586,1520,2369,9718,200,9718
110,90,10,10,0.2,5,0,0,0,0,702,1453,2652,9243,200,9243
100,100,10,10,0.2,5,0,0,0,0,758,1503,2927,11265,200,11265
90,110,10,10,0.2,5,0,0,0,0,717,1664,3275,12796,200,12796
80,120,10,10,0.2,5,0,0,0,0,1396,2442,3698,14550,200,14550
70,130,10,10,0.2,5,0,0,0,0,1222,2753,4413,16561,200,16561
60,140,10,10,0.2,5,0,0,0,0,1235,2594,4433,20183,200,20183
50,150,10,10,0.2,5,0,0,0,0,1215,3127,5960,20733,200,20733
40,160,10,10,0.2,5,0,0,0,0,2096,4077,7224,22233,200,22233
30,170,10,10,0.2,5,0,0,0,0,2724,5495,10707,24050,200,24050
20,180,10,10,0.2,5,0,0,0,0,1922,5929,10838,30685,200,30685
10,190,10,10,0.2,5,0,0,0,0,3262,7080,12015,36414,200,36414
190,10,10,10,0.2,5,0,0,0,0,418,881,1301,3810,200,3810
180,20,10,10,0.2,5,0,0,0,0,433,926,1350,4846,200,4846
170,30,10,10,0.2,5,0,0,0,0,356,813,1341,6364,200,6364
160,40,10,10,0.2,5,0,0,0,0,416,872,1391,6071,200,6071
150,50,10,10,0.2,5,0,0,0,0,549,1125,1690,7019,200,7019
140,60,10,10,0.2,5,0,0,0,0,497,905,1519,5932,200,5932
130,70,10,10,0.2,5,0,0,0,0,518,1278,2139,11650,200,11650
120,80,10,10,0.2,5,0,0,0,0,556,1195,2010,10555,200,10555
110,90,10,10,0.2,5,0,0,0,0,581,1305,2536,8418,200,8418
100,100,10,10,0.2,5,0,0,0,0,977,2030,3292,11132,200,11132
90,110,10,10,0.2,5,0,0,0,0,904,1854,2870,10657,200,10657
80,120,10,10,0.2,5,0,0,0,0,1211,2364,3860,15113,200,15113
70,130,10,10,0.2,5,0,0,0,0,1717,2910,4971,17166,200,17166
60,140,10,10,0.2,5,0,0,0,0,1225,2780,4720,15254,200,15254
50,150,10,10,0.2,5,0,0,0,0,1291,2732,5719,24170,200,24170
40,160,10,10,0.2,5,0,0,0,0,1391,3648,6380,24089,200,24089
30,170,10,10,0.2,5,0,0,0,0,2011,4312,8860,26980,200,26980
20,180,10,10,0.2,5,0,0,0,0,2109,5500,9556,38444,200,38444
10,190,10,10,0.2,5,0,0,0,0,2904,6765,11139,43825,200,43825
190,10,10,10,0.2,5,0,0,0,0,478,866,1292,2819,200,2819
180,20,10,10,0.2,5,0,0,0,0,386,766,1241,5835,200,5835
170,30,10,10,0.2,5,0,0,0,0,414,816,1265,7679,200,7679
160,40,10,10,0.2,5,0,0,0,0,633,1187,1705,5912,200,5912
150,50,10,10,0.2,5,0,0,0,0,580,989,1695,11054,200,11054
140,60,10,10,0.2,5,0,0,0,0,627,1208,1876,11320,200,11320
130,70,10,10,0.2,5,0,0,0,0,512,1096,1878,8567,200,8567
120,80,10,10,0.2,5,0,0,0,0,869,1525,2515,16692,200,16692
110,90,10,10,0.2,5,0,0,0,0,737,1557,2512,10877,200,10877
100,100,10,10,0.2,5,0,0,0,0,499,1135,2294,10008,200,10008
90,110,10,10,0.2,5,0,0,0,0,829,1662,2934,11744,200,11744
80,120,10,10,0.2,5,0,0,0,0,923,1966,3918,22014,200,22014
70,130,10,10,0.2,5,0,0,0,0,869,2242,4355,11664,200,11664
60,140,10,10,0.2,5,0,0,0,0,1291,2661,5309,19351,200,19351
50,150,10,10,0.2,5,0,0,0,0,1505,2826,5115,22321,200,22321
40,160,10,10,0.2,5,0,0,0,0,1209,3124,6346,37003,200,37003
30,170,10,10,0.2,5,0,0,0,0,2042,4287,8066,27528,200,27528
20,180,10,10,0.2,5,0,0,0,0,1911,4371,8529,22144,200,22144
10,190,10,10,0.2,5,0,0,0,0,3288,6809,11167,37742,200,37742
190,10,10,10,0.2,5,0,0,0,0,456,774,1132,3271,200,3271
180,20,10,10,0.2,5,0,0,0,0,466,923,1320,4087,200,4087
170,30,10,10,0.2,5,0,0,0,0,423,909,1385,8718,200,8718
160,40,10,10,0.2,5,0,0,0,0,627,1211,1781,7005,200,7005
150,50,10,10,0.2,5,0,0,0,0,605,1256,1859,6417,200,6417
140,60,10,10,0.2,5,0,0,0,0,653,1187,1951,8997,200,8997
130,70,10,10,0.2,5,0,0,0,0,678,1358,2268,9867,200,9867
120,80,10,10,0.2,5,0,0,0,0,1065,1973,2845,8986,200,8986
110,90,10,10,0.2,5,0,0,0,0,723,1485,2297,9184,200,9184
100,100,10,10,0.2,5,0,0,0,0,609,1488,3007,10703,200,10703
90,110,10,10,0.2,5,0,0,0,0,804,1486,3205,17213,200,17213
80,120,10,10,0.2,5,0,0,0,0,1065,2290,3844,13978,200,13978
70,130,10,10,0.2,5,0,0,0,0,1061,2085,3528,13284,200,13284
60,140,10,10,0.2,5,0,0,0,0,1383,2935,4724,18099,200,18099
50,150,10,10,0.2,5,0,0,0,0,1154,2996,6021,24132,200,24132
40,160,10,10,0.2,5,0,0,0,0,1856,3718,6317,21826,200,21826
30,170,10,10,0.2,5,0,0,0,0,1876,3931,7263,25705,200,25705
20,180,10,10,0.2,5,0,0,0,0,2596,6144,9720,23254,200,23254
10,190,10,10,0.2,5,0,0,0,0,2749,7476,12356,42564,200,42564
190,10,10,10,0.2,5,0,0,0,0,518,826,1348,2743,200,2743
180,20,10,10,0.2,5,0,0,0,0,343,743,1169,6442,200,6442
170,30,10,10,0.2,5,0,0,0,0,599,1075,1609,5230,200,5230
160,40,10,10,0.2,5,0,0,0,0,408,828,1475,8686,200,8686
150,50,10,10,0.2,5,0,0,0,0,685,1334,1896,10557,200,10557
140,60,10,10,0.2,5,0,0,0,0,538,920,1564,8128,200,8128
130,70,10,10,0.2,5,0,0,0,0,761,1387,2308,8680,200,8680
120,80,10,10,0.2,5,0,0,0,0,720,1464,2309,10561,200,10561
110,90,10,10,0.2,5,0,0,0,0,848,1561,2635,10178,200,10178
100,100,10,10,0.2,5,0,0,0,0,767,1584,2521,10661,200,10661
90,110,10,10,0.2,5,0,0,0,0,994,1920,2928,14387,200,14387
80,120,10,10,0.2,5,0,0,0,0,1090,2194,3652,14933,200,14933
70,130,10,10,0.2,5,0,0,0,0,862,1928,3762,17629,200,17629
60,140,10,10,0.2,5,0,0,0,0,945,2558,4756,17369,200,17369
50,150,10,10,0.2,5,0,0,0,0,1335,3159,5241,17474,200,17474
40,160,10,10,0.2,5,0,0,0,0,1792,3304,6318,26259,200,26259
