num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
190,10,10,10,0.2,5,0.0,0.5,0,0,482,891,1160,2085,200,2085
180,20,10,10,0.2,5,0.0,0.5,0,0,457,814,1217,3863,200,3863
170,30,10,10,0.2,5,0.0,0.5,0,0,525,1011,1409,4897,200,4897
160,40,10,10,0.2,5,0.0,0.5,0,0,491,931,1384,7969,200,7969
150,50,10,10,0.2,5,0.0,0.5,0,0,808,1381,2104,5806,200,5806
140,60,10,10,0.2,5,0.0,0.5,0,0,578,1082,1670,11271,200,11271
130,70,10,10,0.2,5,0.0,0.5,0,0,733,1253,1886,8842,200,8842
120,80,10,10,0.2,5,0.0,0.5,0,0,588,1314,2321,11585,200,11585
110,90,10,10,0.2,5,0.0,0.5,0,0,898,1648,2810,13815,200,13815
100,100,10,10,0.2,5,0.0,0.5,0,0,622,1371,2787,11142,200,11142
90,110,10,10,0.2,5,0.0,0.5,0,0,892,1962,3052,15387,200,15387
80,120,10,10,0.2,5,0.0,0.5,0,0,754,1905,3071,19282,200,19282
70,130,10,10,0.2,5,0.0,0.5,0,0,1081,2174,4175,18130,200,18130
60,140,10,10,0.2,5,0.0,0.5,0,0,1371,2794,5165,15586,200,15586
50,150,10,10,0.2,5,0.0,0.5,0,0,1309,3290,5588,16728,200,16728
40,160,10,10,0.2,5,0.0,0.5,0,0,1824,4476,7441,28063,200,28063
30,170,10,10,0.2,5,0.0,0.5,0,0,1938,3738,6621,39579,200,39579
20,180,10,10,0.2,5,0.0,0.5,0,0,2500,5731,9177,39470,200,39470
10,190,10,10,0.2,5,0.0,0.5,0,0,2616,6680,10371,36573,200,36573
190,10,10,10,0.2,5,0.4,0.5,0,0,375,854,1225,2739,200,2739
180,20,10,10,0.2,5,0.4,0.5,0,0,489,913,1316,13834,200,13834
170,30,10,10,0.2,5,0.4,0.5,0,0,429,856,1276,6110,200,6110
160,40,10,10,0.2,5,0.4,0.5,0,0,640,1051,1459,4848,200,4848
150,50,10,10,0.2,5,0.4,0.5,0,0,757,1201,1829,5833,200,5833
