num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
190,10,10,10,0.2,5,0,0.5,0,0,430.9333333,844.6666667,1232.7,2710.3,200,2710.3
180,20,10,10,0.2,5,0,0.5,0,0,456.5333333,880.9,1318.1,5017.533333,200,5017.533333
170,30,10,10,0.2,5,0,0.5,0,0,483.7333333,955.8333333,1413.5,6914.533333,200,6914.533333
160,40,10,10,0.2,5,0,0.5,0,0,483.5,993.2666667,1511.966667,7633.4,200,7633.4
150,50,10,10,0.2,5,0,0.5,0,0,593.0333333,1114.8,1705.366667,8004.066667,200,8004.066667
140,60,10,10,0.2,5,0,0.5,0,0,608,1172.866667,1838.066667,8752.066667,200,8752.066667
130,70,10,10,0.2,5,0,0.5,0,0,623.2333333,1272.1,2056.1,10391.8,200,10391.8
120,80,10,10,0.2,5,0,0.5,0,0,700.2666667,1394.9,2302.5,11112.93333,200,11112.93333
110,90,10,10,0.2,5,0,0.5,0,0,774.1,1576.666667,2583.166667,11519,200,11519
100,100,10,10,0.2,5,0,0.5,0,0,837.0333333,1687.233333,2867.666667,12726.66667,200,12726.66667
90,110,10,10,0.2,5,0,0.5,0,0,823.5,1817.333333,3189.266667,13007.3,200,13007.3
80,120,10,10,0.2,5,0,0.5,0,0,942.5333333,2047.4,3626.633333,15108.46667,200,15108.46667
70,130,10,10,0.2,5,0,0.5,0,0,1018.5,2345.2,4238.533333,16513.53333,200,16513.53333
60,140,10,10,0.2,5,0,0.5,0,0,1216.533333,2738.4,4886.233333,19268.63333,200,19268.63333
50,150,10,10,0.2,5,0,0.5,0,0,1399.533333,3222.2,5646.2,18999.03333,200,18999.03333
40,160,10,10,0.2,5,0,0.5,0,0,1642.533333,3915.5,6890.766667,24117.5,200,24117.5
30,170,10,10,0.2,5,0,0.5,0,0,2081.4,4731.2,8244.133333,27300.36667,200,27300.36667
20,180,10,10,0.2,5,0,0.5,0,0,2355.9,5831.033333,10091.26667,32261.06667,200,32261.06667
10,190,10,10,0.2,5,0,0.5,0,0,3136.066667,7559.3,13030.6,39290.46667,200,39290.46667
190,10,10,10,0.2,5,0.4,0.5,0,0,457.1333333,862.3666667,1242.366667,2842,200,2842
180,20,10,10,0.2,5,0.4,0.5,0,0,494.6,919.0666667,1336.433333,5122.366667,200,5122.366667
170,30,10,10,0.2,5,0.4,0.5,0,0,518.4666667,964.3333333,1406,6401.566667,200,6401.566667
160,40,10,10,0.2,5,0.4,0.5,0,0,502.1666667,1018.133333,1534.666667,6649.233333,200,6649.233333
150,50,10,10,0.2,5,0.4,0.5,0,0,593.6333333,1120.533333,1710.8,7477.5,200,7477.5
140,60,10,10,0.2,5,0.4,0.5,0,0,594.4,1152.7,1800.233333,8375.166667,200,8375.166667
130,70,10,10,0.2,5,0.4,0.5,0,0,651.3666667,1279.166667,2027.366667,8984.966667,200,8984.966667
120,80,10,10,0.2,5,0.4,0.5,0,0,647.7666667,1319.233333,2121.366667,9857.533333,200,9857.533333
110,90,10,10,0.2,5,0.4,0.5,0,0,689.0666667,1452.966667,2453.933333,10517.2,200,10517.2
100,100,10,10,0.2,5,0.4,0.5,0,0,828.3,1670.333333,2795.233333,12103.53333,200,12103.53333
90,110,10,10,0.2,5,0.4,0.5,0,0,869.9333333,1773.233333,2989.566667,12235.8,200,12235.8
80,120,10,10,0.2,5,0.4,0.5,0,0,900.7666667,1960.966667,3374.666667,13508.96667,200,13508.96667
70,130,10,10,0.2,5,0.4,0.5,0,0,1064.666667,2296.466667,3945.566667,16250.9,200,16250.9
60,140,10,10,0.2,5,0.4,0.5,0,0,1220.733333,2627.3,4544.466667,17018.06667,200,17018.06667
50,150,10,10,0.2,5,0.4,0.5,0,0,1259.433333,2865.333333,5098.9,18029.9,200,18029.9
40,160,10,10,0.2,5,0.4,0.5,0,0,1497.7,3414.066667,5997.566667,21881.36667,200,21881.36667
30,170,10,10,0.2,5,0.4,0.5,0,0,1650.466667,3919.6,6992.133333,24436.96667,200,24436.96667
20,180,10,10,0.2,5,0.4,0.5,0,0,2256.2,5162.133333,8841.466667,28788.53333,200,28788.53333
10,190,10,10,0.2,5,0.4,0.5,0,0,2642,6722.8,11483.8,34354.63333,200,34354.63333
190,10,10,10,0.2,5,0.8,0.5,0,0,453.9333333,847.6333333,1229.333333,2770.366667,200,2770.366667
180,20,10,10,0.2,5,0.8,0.5,0,0,462.4666667,890.8666667,1314.266667,5287.266667,200,5287.266667
170,30,10,10,0.2,5,0.8,0.5,0,0,500.8333333,956,1432.833333,5725.3,200,5725.3
160,40,10,10,0.2,5,0.8,0.5,0,0,518.0333333,987.6666667,1498.366667,6293.966667,200,6293.966667
150,50,10,10,0.2,5,0.8,0.5,0,0,588.8333333,1126.3,1713.566667,7076.4,200,7076.4
140,60,10,10,0.2,5,0.8,0.5,0,0,604.6666667,1155.866667,1793.366667,8758.833333,200,8758.833333
130,70,10,10,0.2,5,0.8,0.5,0,0,633.9,1229.333333,1920.8,8768.633333,200,8768.633333
120,80,10,10,0.2,5,0.8,0.5,0,0,707.9,1411.666667,2214.766667,10023.6,200,10023.6
110,90,10,10,0.2,5,0.8,0.5,0,0,707.2,1414.6,2313.866667,10911.06667,200,10911.06667
100,100,10,10,0.2,5,0.8,0.5,0,0,775.4666667,1569.9,2573.966667,11583.46667,200,11583.46667
90,110,10,10,0.2,5,0.8,0.5,0,0,812.3,1712.7,2850.466667,12326.4,200,12326.4
80,120,10,10,0.2,5,0.8,0.5,0,0,904.3333333,1924.133333,3279.966667,13213.23333,200,13213.23333
