num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
190,10,10,10,0.2,5,0,0,0,0,464,845,1304,3221,200,3221
180,20,10,10,0.2,5,0,0,0,0,497,972,1342,4161,200,4161
170,30,10,10,0.2,5,0,0,0,0,629,1096,1628,5890,200,5890
160,40,10,10,0.2,5,0,0,0,0,421,901,1341,6917,200,6917
150,50,10,10,0.2,5,0,0,0,0,606,1210,1854,6264,200,6264
140,60,10,10,0.2,5,0,0,0,0,547,1090,1790,9903,200,9903
130,70,10,10,0.2,5,0,0,0,0,434,981,1653,8943,200,8943
120,80,10,10,0.2,5,0,0,0,0,607,1371,2249,10204,200,10204
110,90,10,10,0.2,5,0,0,0,0,714,1350,2294,11200,200,11200
100,100,10,10,0.2,5,0,0,0,0,775,1478,2667,16337,200,16337
90,110,10,10,0.2,5,0,0,0,0,935,2193,3427,14235,200,14235
80,120,10,10,0.2,5,0,0,0,0,1312,2355,3714,17572,200,17572
70,130,10,10,0.2,5,0,0,0,0,996,2386,4211,16277,200,16277
60,140,10,10,0.2,5,0,0,0,0,1061,2619,4827,16456,200,16456
50,150,10,10,0.2,5,0,0,0,0,1379,3237,5703,16658,200,16658
40,160,10,10,0.2,5,0,0,0,0,2204,4181,7346,25805,200,25805
30,170,10,10,0.2,5,0,0,0,0,1839,4497,8465,27083,200,27083
20,180,10,10,0.2,5,0,0,0,0,2106,6145,10369,35184,200,35184
10,190,10,10,0.2,5,0,0,0,0,3323,8431,13477,32934,200,32934
190,10,10,10,0.16,5,0,0,0,0,460,931,1262,3320,200,3320
180,20,10,10,0.16,5,0,0,0,0,414,929,1514,4789,200,4789
170,30,10,10,0.16,5,0,0,0,0,788,1385,1839,8746,200,8746
160,40,10,10,0.16,5,0,0,0,0,574,1340,1798,9519,200,9519
150,50,10,10,0.16,5,0,0,0,0,603,1347,2339,10708,200,10708
140,60,10,10,0.16,5,0,0,0,0,1039,1739,2706,8262,200,8262
130,70,10,10,0.16,5,0,0,0,0,812,1504,2733,11504,200,11504
120,80,10,10,0.16,5,0,0,0,0,946,1794,2944,10541,200,10541
110,90,10,10,0.16,5,0,0,0,0,776,1661,2917,20476,200,20476
100,100,10,10,0.16,5,0,0,0,0,839,2007,3714,13103,200,13103
90,110,10,10,0.16,5,0,0,0,0,991,2181,3797,17667,200,17667
80,120,10,10,0.16,5,0,0,0,0,1099,2577,4291,18222,200,18222
70,130,10,10,0.16,5,0,0,0,0,1409,2790,5015,20089,200,20089
60,140,10,10,0.16,5,0,0,0,0,1048,3380,6630,28147,200,28147
50,150,10,10,0.16,5,0,0,0,0,1458,3707,6587,31371,200,31371
40,160,10,10,0.16,5,0,0,0,0,2119,4885,7950,22275,200,22275
30,170,10,10,0.16,5,0,0,0,0,1904,4628,8323,23195,200,23195
20,180,10,10,0.16,5,0,0,0,0,3811,7976,13094,29436,200,29436
10,190,10,10,0.16,5,0,0,0,0,3266,9311,16347,51900,200,51900
190,10,10,10,0.12,5,0,0,0,0,750,1591,2250,3887,200,3887
180,20,10,10,0.12,5,0,0,0,0,781,1376,1973,8900,200,8900
170,30,10,10,0.12,5,0,0,0,0,512,1447,2406,14692,200,14692
160,40,10,10,0.12,5,0,0,0,0,755,1471,2228,10033,200,10033
150,50,10,10,0.12,5,0,0,0,0,1065,1854,3117,10406,200,10406
140,60,10,10,0.12,5,0,0,0,0,935,1712,2881,17261,200,17261
130,70,10,10,0.12,5,0,0,0,0,734,1976,3195,22327,200,22327
120,80,10,10,0.12,5,0,0,0,0,790,2238,4010,15766,200,15766
110,90,10,10,0.12,5,0,0,0,0,1003,2488,4558,22932,200,22932
100,100,10,10,0.12,5,0,0,0,0,1304,2650,5109,17860,200,17860
90,110,10,10,0.12,5,0,0,0,0,2032,3906,5906,20143,200,20143
80,120,10,10,0.12,5,0,0,0,0,1642,3304,6422,27737,200,27737
70,130,10,10,0.12,5,0,0,0,0,1684,4284,6828,21858,200,21858
60,140,10,10,0.12,5,0,0,0,0,1745,4470,8701,34792,200,34792
50,150,10,10,0.12,5,0,0,0,0,3530,7195,12661,52923,200,52923
40,160,10,10,0.12,5,0,0,0,0,2138,5267,10668,31637,200,31637
