num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
190.0,10.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,432.76666666666665,844.7666666666667,1234.8,2688.1,200.0,2688.1
180.0,20.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,445.96666666666664,889.8333333333334,1298.4333333333334,4786.4,200.0,4786.4
170.0,30.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,531.6333333333333,996.6,1493.2,5997.933333333333,200.0,5997.933333333333
160.0,40.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,540.1666666666666,1015.9333333333333,1512.9,6692.633333333333,200.0,6692.633333333333
150.0,50.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,578.3,1149.9,1764.2333333333333,8779.766666666666,200.0,8779.766666666666
140.0,60.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,652.7333333333333,1226.1333333333334,1896.7,9626.9,200.0,9626.9
130.0,70.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,661.1666666666666,1318.9666666666667,2158.133333333333,9356.433333333332,200.0,9356.433333333332
120.0,80.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,696.2,1388.9,2286.4666666666667,9991.633333333333,200.0,9991.633333333333
110.0,90.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,722.4,1527.1333333333334,2614.366666666667,11797.4,200.0,11797.4
100.0,100.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,795.5,1773.1333333333334,3080.5666666666666,14154.5,200.0,14154.5
90.0,110.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,981.1333333333333,2005.1666666666667,3444.5333333333333,13335.033333333333,200.0,13335.033333333333
80.0,120.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,1002.5666666666667,2139.266666666667,3674.9333333333334,14217.633333333333,200.0,14217.633333333333
70.0,130.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,1056.0333333333333,2337.0666666666666,4329.533333333334,16434.533333333333,200.0,16434.533333333333
60.0,140.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,1294.8,2789.4,4944.866666666667,18570.7,200.0,18570.7
50.0,150.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,1391.4,3150.866666666667,5792.466666666666,19986.966666666667,200.0,19986.966666666667
40.0,160.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,1673.3,3848.233333333333,6689.966666666666,22763.166666666668,200.0,22763.166666666668
30.0,170.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,1983.9333333333334,4629.266666666666,8221.966666666667,26373.433333333334,200.0,26373.433333333334
20.0,180.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,2543.7,6114.833333333333,10532.0,31545.8,200.0,31545.8
10.0,190.0,10.0,10.0,0.2000000000000001,5.0,0.0,0.0,0.0,0.0,2953.6666666666665,7648.8,12898.533333333333,39068.433333333334,200.0,39068.433333333334
190.0,10.0,10.0,10.0,0.16000000000000006,5.0,0.0,0.0,0.0,0.0,540.7333333333333,1026.6666666666667,1520.8666666666666,3205.5666666666666,200.0,3205.5666666666666
180.0,20.0,10.0,10.0,0.16000000000000006,5.0,0.0,0.0,0.0,0.0,570.8333333333334,1094.8333333333333,1599.6666666666667,6815.5,200.0,6815.5
170.0,30.0,10.0,10.0,0.16000000000000006,5.0,0.0,0.0,0.0,0.0,544.2666666666667,1101.7666666666667,1686.9,7500.533333333334,200.0,7500.533333333334
160.0,40.0,10.0,10.0,0.16000000000000006,5.0,0.0,0.0,0.0,0.0,676.5,1232.1333333333334,1860.4666666666667,9297.466666666667,200.0,9297.466666666667
150.0,50.0,10.0,10.0,0.16000000000000006,5.0,0.0,0.0,0.0,0.0,714.7666666666667,1321.0666666666666,2027.4333333333334,9765.033333333333,200.0,9765.033333333333
140.0,60.0,10.0,10.0,0.16000000000000006,5.0,0.0,0.0,0.0,0.0,778.2666666666667,1527.3,2376.5333333333333,11210.166666666666,200.0,11210.166666666666
