num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
190,10,10,10,0.2,1,0,0,0,0,417,805,1200,3391,200,3391
180,20,10,10,0.2,1,0,0,0,0,278,648,917,1784,200,1784
170,30,10,10,0.2,1,0,0,0,0,254,516,837,2554,200,2554
160,40,10,10,0.2,1,0,0,0,0,288,726,1176,2328,200,2328
150,50,10,10,0.2,1,0,0,0,0,248,560,789,2231,200,2231
140,60,10,10,0.2,1,0,0,0,0,233,524,963,2301,200,2301
130,70,10,10,0.2,1,0,0,0,0,361,695,959,2982,200,2982
120,80,10,10,0.2,1,0,0,0,0,346,717,1011,2499,200,2499
110,90,10,10,0.2,1,0,0,0,0,341,689,1020,2077,200,2077
100,100,10,10,0.2,1,0,0,0,0,300,669,989,2944,200,2944
90,110,10,10,0.2,1,0,0,0,0,366,735,1150,3132,200,3132
80,120,10,10,0.2,1,0,0,0,0,289,528,823,2113,200,2113
70,130,10,10,0.2,1,0,0,0,0,314,630,970,1965,200,1965
60,140,10,10,0.2,1,0,0,0,0,341,737,1102,3079,200,3079
50,150,10,10,0.2,1,0,0,0,0,437,808,1171,2412,200,2412
40,160,10,10,0.2,1,0,0,0,0,307,612,954,1920,200,1920
30,170,10,10,0.2,1,0,0,0,0,228,576,976,2537,200,2537
20,180,10,10,0.2,1,0,0,0,0,319,688,1090,3907,200,3907
10,190,10,10,0.2,1,0,0,0,0,412,675,1004,2231,200,2231
190,10,10,10,0.2,2,0,0,0,0,320,614,1024,2936,200,2936
180,20,10,10,0.2,2,0,0,0,0,375,797,1106,5757,200,5757
170,30,10,10,0.2,2,0,0,0,0,332,749,1231,2247,200,2247
160,40,10,10,0.2,2,0,0,0,0,367,799,1176,3242,200,3242
150,50,10,10,0.2,2,0,0,0,0,525,1017,1437,3950,200,3950
140,60,10,10,0.2,2,0,0,0,0,458,942,1467,3364,200,3364
130,70,10,10,0.2,2,0,0,0,0,570,1044,1461,4335,200,4335
120,80,10,10,0.2,2,0,0,0,0,545,1030,1412,3876,200,3876
110,90,10,10,0.2,2,0,0,0,0,556,1027,1620,3359,200,3359
100,100,10,10,0.2,2,0,0,0,0,643,1224,1895,7327,200,7327
90,110,10,10,0.2,2,0,0,0,0,419,974,1600,4453,200,4453
80,120,10,10,0.2,2,0,0,0,0,721,1300,1836,5593,200,5593
70,130,10,10,0.2,2,0,0,0,0,597,1192,1850,5145,200,5145
60,140,10,10,0.2,2,0,0,0,0,604,1376,2110,5867,200,5867
50,150,10,10,0.2,2,0,0,0,0,683,1493,2282,8916,200,8916
40,160,10,10,0.2,2,0,0,0,0,574,1576,2478,6695,200,6695
30,170,10,10,0.2,2,0,0,0,0,1156,2052,3007,8147,200,8147
20,180,10,10,0.2,2,0,0,0,0,920,1805,2848,8790,200,8790
10,190,10,10,0.2,2,0,0,0,0,811,1886,3140,8932,200,8932
190,10,10,10,0.2,3,0,0,0,0,419,840,1147,2976,200,2976
180,20,10,10,0.2,3,0,0,0,0,440,833,1209,2982,200,2982
170,30,10,10,0.2,3,0,0,0,0,463,891,1378,3472,200,3472
160,40,10,10,0.2,3,0,0,0,0,451,982,1570,5174,200,5174
