num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
190,10,10,10,0.2,5,0,0,0.0,0,419,841,1283,2757,200,2757
180,20,10,10,0.2,5,0,0,0.0,0,539,917,1220,4755,200,4755
170,30,10,10,0.2,5,0,0,0.0,0,400,796,1243,5316,200,5316
160,40,10,10,0.2,5,0,0,0.0,0,570,1119,1560,6501,200,6501
150,50,10,10,0.2,5,0,0,0.0,0,629,1114,1738,10005,200,10005
140,60,10,10,0.2,5,0,0,0.0,0,682,1319,1853,8266,200,8266
130,70,10,10,0.2,5,0,0,0.0,0,586,1170,1949,12517,200,12517
120,80,10,10,0.2,5,0,0,0.0,0,648,1573,2435,9355,200,9355
110,90,10,10,0.2,5,0,0,0.0,0,934,1703,2560,11422,200,11422
100,100,10,10,0.2,5,0,0,0.0,0,703,1736,3225,10198,200,10198
90,110,10,10,0.2,5,0,0,0.0,0,790,1759,3228,11593,200,11593
80,120,10,10,0.2,5,0,0,0.0,0,1099,2247,3840,16152,200,16152
70,130,10,10,0.2,5,0,0,0.0,0,1376,2932,5083,19837,200,19837
60,140,10,10,0.2,5,0,0,0.0,0,1060,2215,4101,16242,200,16242
50,150,10,10,0.2,5,0,0,0.0,0,1758,3593,6164,20610,200,20610
40,160,10,10,0.2,5,0,0,0.0,0,1052,3702,6296,18479,200,18479
30,170,10,10,0.2,5,0,0,0.0,0,1950,4758,8196,31667,200,31667
20,180,10,10,0.2,5,0,0,0.0,0,2275,5899,10345,26153,200,26153
10,190,10,10,0.2,5,0,0,0.0,0,3313,7247,12101,34950,200,34950
190,10,10,10,0.2,5,0,0,0.2,0,697,1119,1479,3872,200,3872
180,20,10,10,0.2,5,0,0,0.2,0,695,1272,1741,4184,200,4184
170,30,10,10,0.2,5,0,0,0.2,0,484,837,1345,4879,200,4879
160,40,10,10,0.2,5,0,0,0.2,0,519,944,1408,8510,200,8510
150,50,10,10,0.2,5,0,0,0.2,0,661,1181,1940,7435,200,7435
140,60,10,10,0.2,5,0,0,0.2,0,822,1356,1976,7586,200,7586
130,70,10,10,0.2,5,0,0,0.2,0,628,1251,1965,11111,200,11111
120,80,10,10,0.2,5,0,0,0.2,0,684,1343,2253,9839,200,9839
110,90,10,10,0.2,5,0,0,0.2,0,921,1777,3021,16283,200,16283
100,100,10,10,0.2,5,0,0,0.2,0,834,1642,2801,14187,200,14187
90,110,10,10,0.2,5,0,0,0.2,0,981,2287,3992,15322,200,15322
80,120,10,10,0.2,5,0,0,0.2,0,1036,2293,3956,17573,200,17573
70,130,10,10,0.2,5,0,0,0.2,0,1531,2824,4826,21561,200,21561
60,140,10,10,0.2,5,0,0,0.2,0,1320,3078,4993,25217,200,25217
50,150,10,10,0.2,5,0,0,0.2,0,1775,4432,7135,19107,200,19107
40,160,10,10,0.2,5,0,0,0.2,0,2159,4286,7203,24340,200,24340
30,170,10,10,0.2,5,0,0,0.2,0,2762,5678,9397,32175,200,32175
20,180,10,10,0.2,5,0,0,0.2,0,2368,5959,10485,21351,200,21351
10,190,10,10,0.2,5,0,0,0.2,0,3624,7324,13002,42647,200,42647
190,10,10,10,0.2,5,0,0,0.4,0,708,1200,1590,3129,200,3129
180,20,10,10,0.2,5,0,0,0.4,0,636,1099,1611,5573,200,5573
170,30,10,10,0.2,5,0,0,0.4,0,668,1238,1847,6285,200,6285
160,40,10,10,0.2,5,0,0,0.4,0,725,1316,1945,11549,200,11549
150,50,10,10,0.2,5,0,0,0.4,0,946,1548,2165,8613,200,8613
140,60,10,10,0.2,5,0,0,0.4,0,921,1659,2276,12936,200,12936
130,70,10,10,0.2,5,0,0,0.4,0,908,1898,2789,11130,200,11130
120,80,10,10,0.2,5,0,0,0.4,0,748,1770,3048,13472,200,13472
110,90,10,10,0.2,5,0,0,0.4,0,1007,2332,3678,17857,200,17857
100,100,10,10,0.2,5,0,0,0.4,0,1089,2616,4167,13416,200,13416
90,110,10,10,0.2,5,0,0,0.4,0,1002,2049,3866,17194,200,17194
80,120,10,10,0.2,5,0,0,0.4,0,978,2071,4008,15770,200,15770
70,130,10,10,0.2,5,0,0,0.4,0,2212,4070,6327,22251,200,22251
60,140,10,10,0.2,5,0,0,0.4,0,1841,4268,7575,21401,200,21401
50,150,10,10,0.2,5,0,0,0.4,0,1864,4078,7257,27588,200,27588
40,160,10,10,0.2,5,0,0,0.4,0,1947,4344,7894,26092,200,26092
30,170,10,10,0.2,5,0,0,0.4,0,1882,4547,8501,45109,200,45109
20,180,10,10,0.2,5,0,0,0.4,0,2710,5684,10500,35676,200,35676
10,190,10,10,0.2,5,0,0,0.4,0,3519,9657,16290,54536,200,54536
190,10,10,10,0.2,5,0,0,0.6000000000000001,0,1315,1889,2716,6537,200,6537
180,20,10,10,0.2,5,0,0,0.6000000000000001,0,780,1359,2193,9582,200,9582
170,30,10,10,0.2,5,0,0,0.6000000000000001,0,949,1837,2911,27478,200,27478
160,40,10,10,0.2,5,0,0,0.6000000000000001,0,1396,2754,3842,22453,200,22453
150,50,10,10,0.2,5,0,0,0.6000000000000001,0,1538,2371,3313,17775,200,17775
140,60,10,10,0.2,5,0,0,0.6000000000000001,0,1026,1981,3057,14709,200,14709
130,70,10,10,0.2,5,0,0,0.6000000000000001,0,795,2004,3671,19396,200,19396
