num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
190,10,10,10,0.2,5,0,0,0,0,436.9,822.9666667,1179.6,2653.433333,200,2653.433333
180,20,10,10,0.2,5,0,0,0,0,469.8333333,910.3,1343.733333,5287.4,200,5287.4
170,30,10,10,0.2,5,0,0,0,0,481.5666667,943.0333333,1411.6,6411.4,200,6411.4
160,40,10,10,0.2,5,0,0,0,0,510.8666667,1027.433333,1553.866667,7020.966667,200,7020.966667
150,50,10,10,0.2,5,0,0,0,0,549.3333333,1070.833333,1676.8,8519.666667,200,8519.666667
140,60,10,10,0.2,5,0,0,0,0,593.8,1189.833333,1849.066667,8623.966667,200,8623.966667
130,70,10,10,0.2,5,0,0,0,0,593.8666667,1209.233333,1979.266667,9083.933333,200,9083.933333
120,80,10,10,0.2,5,0,0,0,0,691.3333333,1402,2297.7,10972.56667,200,10972.56667
110,90,10,10,0.2,5,0,0,0,0,780.1,1569.166667,2573.566667,11490.73333,200,11490.73333
100,100,10,10,0.2,5,0,0,0,0,797.5,1684.166667,2939.166667,12295.8,200,12295.8
90,110,10,10,0.2,5,0,0,0,0,924.6,1920.433333,3296.333333,13760.06667,200,13760.06667
80,120,10,10,0.2,5,0,0,0,0,1037,2132.766667,3765.333333,14806.03333,200,14806.03333
70,130,10,10,0.2,5,0,0,0,0,1123.1,2464.333333,4408.433333,17230.86667,200,17230.86667
60,140,10,10,0.2,5,0,0,0,0,1272.833333,2800.033333,5045.166667,18342.6,200,18342.6
50,150,10,10,0.2,5,0,0,0,0,1534.166667,3395.2,5977.7,21499.1,200,21499.1
40,160,10,10,0.2,5,0,0,0,0,1617.466667,3769.533333,6763.3,23567.73333,200,23567.73333
30,170,10,10,0.2,5,0,0,0,0,1991.033333,4791.833333,8360.166667,26999.96667,200,26999.96667
20,180,10,10,0.2,5,0,0,0,0,2421.866667,5662.4,9857.833333,31158.76667,200,31158.76667
10,190,10,10,0.2,5,0,0,0,0,3349.966667,7748.133333,13064.73333,38345.8,200,38345.8
190,10,10,10,0.2,5,0,0,0.2,0,551.6,981.6,1378.7,3162.9,200,3162.9
180,20,10,10,0.2,5,0,0,0.2,0,586.4,1067.266667,1523.2,5204.6,200,5204.6
170,30,10,10,0.2,5,0,0,0.2,0,614.9333333,1106.266667,1632.133333,6521.433333,200,6521.433333
160,40,10,10,0.2,5,0,0,0.2,0,593.8666667,1106.833333,1650.133333,7041.433333,200,7041.433333
150,50,10,10,0.2,5,0,0,0.2,0,641.4666667,1262.6,1902.133333,8431.266667,200,8431.266667
140,60,10,10,0.2,5,0,0,0.2,0,669.6333333,1327.966667,2035.833333,8682.7,200,8682.7
130,70,10,10,0.2,5,0,0,0.2,0,695.7333333,1378.733333,2254.733333,10198.03333,200,10198.03333
120,80,10,10,0.2,5,0,0,0.2,0,731.6333333,1489.266667,2482.433333,11537.36667,200,11537.36667
110,90,10,10,0.2,5,0,0,0.2,0,837.5,1699.066667,2812.1,12518.86667,200,12518.86667
100,100,10,10,0.2,5,0,0,0.2,0,931.7666667,1899.4,3291.233333,14383.96667,200,14383.96667
90,110,10,10,0.2,5,0,0,0.2,0,1020.733333,2128.4,3650.933333,15068.03333,200,15068.03333
80,120,10,10,0.2,5,0,0,0.2,0,1144.533333,2346.766667,4106.166667,15586.66667,200,15586.66667
70,130,10,10,0.2,5,0,0,0.2,0,1217.666667,2602.266667,4594.866667,18959.6,200,18959.6
60,140,10,10,0.2,5,0,0,0.2,0,1370.433333,2970.066667,5319.3,19547.93333,200,19547.93333
50,150,10,10,0.2,5,0,0,0.2,0,1549.266667,3511.466667,6122.133333,24605.36667,200,24605.36667
