num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
190,10,10,10,0.2,5,0,0,0,0,490,888,1325,3507,200,3507
180,20,10,10,0.2,5,0,0,0,0,372,778,1263,4637,200,4637
170,30,10,10,0.2,5,0,0,0,0,558,1081,1527,8718,200,8718
160,40,10,10,0.2,5,0,0,0,0,380,836,1361,7108,200,7108
150,50,10,10,0.2,5,0,0,0,0,796,1323,1961,9393,200,9393
140,60,10,10,0.2,5,0,0,0,0,675,1269,2021,9442,200,9442
130,70,10,10,0.2,5,0,0,0,0,836,1509,2261,9894,200,9894
120,80,10,10,0.2,5,0,0,0,0,767,1496,2649,10774,200,10774
110,90,10,10,0.2,5,0,0,0,0,848,1685,2822,15616,200,15616
100,100,10,10,0.2,5,0,0,0,0,949,1654,2657,13233,200,13233
90,110,10,10,0.2,5,0,0,0,0,782,1724,3190,10834,200,10834
80,120,10,10,0.2,5,0,0,0,0,1313,2665,4111,16124,200,16124
70,130,10,10,0.2,5,0,0,0,0,1382,2556,4120,18219,200,18219
60,140,10,10,0.2,5,0,0,0,0,942,2299,4135,16557,200,16557
50,150,10,10,0.2,5,0,0,0,0,1343,3469,5649,24460,200,24460
40,160,10,10,0.2,5,0,0,0,0,1760,3901,7011,24571,200,24571
30,170,10,10,0.2,5,0,0,0,0,1934,4284,8186,31518,200,31518
20,180,10,10,0.2,5,0,0,0,0,2231,6328,10693,24653,200,24653
10,190,10,10,0.2,5,0,0,0,0,2369,6746,10591,39724,200,39724
190,10,10,10,0.16,5,0,0,0,0,453,940,1424,2561,200,2561
180,20,10,10,0.16,5,0,0,0,0,538,1080,1568,7151,200,7151
170,30,10,10,0.16,5,0,0,0,0,671,1294,1790,13251,200,13251
160,40,10,10,0.16,5,0,0,0,0,545,1114,1828,8972,200,8972
150,50,10,10,0.16,5,0,0,0,0,891,1510,2152,8893,200,8893
